"Josip Murn","Miran Jarc"
"Srečko Kosovel","Miran Jarc"
"Anita Mui","William So"
"Nalî","Abdulla Goran"
"Auguste Forel","Adolf Meyer"
"Bruce Sterling","Alastair Reynolds"
"Robert W. Chambers","August Derleth"
"Alfred North Whitehead","Bruno Latour"
"Ted Hughes","Carol Ann Duffy"
"Srečko Kosovel","Ciril Zlobec"
"Neal Stephenson","Daniel Suarez"
"Robert B. Parker","Dennis Lehane"
"Édouard Lucas","Derrick Henry Lehmer"
"Josip Murn","Edvard Kocbek"
"Srečko Kosovel","Edvard Kocbek"
"Alexis de Tocqueville","Emmanuel Todd"
"Tudor Arghezi","Eugen Barbu"
"Jack Vance","Gardner Dozois"
"Albert W. Tucker","Harold W. Kuhn"
"Jakob Kolletschka","Ignaz Semmelweis"
"Srečko Kosovel","Iztok Osojnik"
"Liviu Rebreanu","Jin Yong"
"Alexandre Dumas","Jin Yong"
"Georg Friedrich Knapp","Ladislaus Bortkiewicz"
"Alan Moore","Mark Millar"
"Hunter S. Thompson","Matt Taibbi"
"Jun Tsuji","Noe Ito"
"Donald Barthelme","Oscar Hijuelos"
"John Berryman","Philip Levine"
"Theodor Hartig","Robert Hartig"
"Jack Smith","Robert Wilson"
"Otto Rank","Stanislav Grof"
"Kurt Blome","Erich Traub"
"Alfred North Whitehead","Luis G. Pedraja"
"Ion Creangă","Vlad Ioviţă"
"Vladimir Bekhterev","Vladimir Nikolayevich Myasishchev"
"Sufyan al-Thawri","Dawud al-Zahiri"
"Keiiti Aki","Thomas H. Jordan"
"Emerich de Vattel","Alexander Hamilton"
"William Carlos Williams","Allen Ginsberg"
"Eugen Bleuler","Carl Jung"
"Otto Gross","Carl Jung"
"Leszek Kołakowski","Christopher Hitchens"
"Richard Hofstadter","Christopher Hitchens"
"Aldous Huxley","Christopher Hitchens"
"Yayoi Kusama","Claes Oldenburg"
"Alan Moore","Damon Lindelof"
"Jack Vance","Frank Herbert"
"Friedrich Albert Lange","Friedrich Nietzsche"
"Clark Ashton Smith","Fritz Leiber"
"Johannes Nikolaus Tetens","Immanuel Kant"
"Friedrich Heinrich Jacobi","Johann Gottlieb Fichte"
"John Argyropoulos","Marsilio Ficino"
"Aldous Huxley","Michel Houellebecq"
"Alexander Pushkin","Mikhail Bulgakov"
"Harold Hotelling","Milton Friedman"
"Ken Kesey","Paul McCartney"
"Clark Ashton Smith","Robert E. Howard"
"Liviu Rebreanu","Robert E. Howard"
"Alexandre Dumas","Robert E. Howard"
"Donald Barthelme","Thomas Pynchon"
"Dane Zajc","Gregor Strniša"
"Wilhelm Gliese","Hartmut Jahreiß"
"Harold Garfinkel","Michael Lynch"
"Anita Mui","Andy Hui"
"Otto Rank","Henry Miller"
"Liviu Rebreanu","Alexandru Hrisoverghi"
"Alexandre Dumas","Alexandru Hrisoverghi"
"Paul Otlet","Andries van Dam"
"Maya Deren","Barbara Hammer"
"Alan Moore","Brian K. Vaughan"
"Gaetano Mosca","C. Wright Mills"
"Alfred North Whitehead","Charles Hartshorne"
"René Guénon","Charles le Gai Eaton"
"James Joseph Sylvester","Christine Ladd-Franklin"
"Randolph Caldecott","Cicely Mary Barker"
"Alexandre Dumas","Dennis Wheatley"
"William Styron","James Jones"
"Mary Daly","Janice Raymond"
"Jules Vuillemin","Jean Bricmont"
"Abbie Hoffman","Jonah Raskin"
"Émile Durkheim","Jonathan Haidt"
"Gerald Brom","Kevin Wasden"
"Robert Brandom","Mark Lance"
"Jack Smith","Matthew Barney"
"Otto Rank","Matthew Fox"
"H. Bonciu","Mircea Cărtărescu"
"Norman Malcolm","Oets Kolk Bouwsma"
"Alfred North Whitehead","Philip Clayton"
"Jack Smith","Pipilotti Rist"
"Gaetano Mosca","Seymour Martin Lipset"
"Émile Durkheim","Steven Lukes"
"W. D. Ross","Tara Smith"
"Hubert Dreyfus","Tim van Gelder"
"Eugène Atget","Walker Evans"
"Bruce Chatwin","William Dalrymple"
"Eric Newby","William Dalrymple"
"Willem 's Gravesande","Émilie du Châtelet"
"René Guénon","Frithjof Schuon"
"Émile Meyerson","Gaston Bachelard"
"Attila József","János Pilinszky"
"Richard Hakluyt","John Pory"
"Liviu Rebreanu","Narcís Oller"
"Alexandre Dumas","Narcís Oller"
"Brendan Behan","Shane MacGowan"
"Ion Creangă","Victor Eftimiu"
"Muhammad Husayn Tabatabaei","Dariush Shayegan"
"Lon L. Fuller","Ian Roderick Macneil"
"Géza Róheim","Norman O. Brown"
"Alfred North Whitehead","Wilmon Henry Sheldon"
"Eric Carle","Michael Buckley"
"Isaac Israëls","Johannes Evert Hendrik Akkeringa"
"Cornel West","Gary Peller"
"Harold Garfinkel","Harvey Sacks"
"Muhammad Husayn Tabatabaei","Henry Corbin"
"Paul Otlet","J. C. R. Licklider"
"Émile Durkheim","Lucien Lévy-Bruhl"
"Muhammad Husayn Tabatabaei","Mohammad Beheshti"
"Abdulhakim Arvasi","Necip Fazıl Kısakürek"
"Alfred Cort Haddon","W. H. R. Rivers"
"Abdulhakim Arvasi","Hüseyin Hilmi Işık"
"Theodor Boveri","Kristine Bonnevie"
"Harold Garfinkel","Lucy Suchman"
"James Braid","John Milne Bramwell"
"Barbara Guest","Marjorie Welish"
"Eric Berne","Albert Mehrabian"
"Muhammad Husayn Tabatabaei","Abdollah Javadi-Amoli"
"Richard Brautigan","Ben Myers"
"Barbara Guest","Elizabeth Robinson"
"John Berryman","Kevin Young"
"Jack Smith","Lee Breuer"
"Hubert Dreyfus","Don Ihde"
"Nalî","Piramerd"
"Nikolai Berdyaev","Richard Kroner"
"Harold Hotelling","Seymour Geisser"
"Hubert Dreyfus","John Haugeland"
"N.C. Wyeth","Andrew Wyeth"
"Robert B. Parker","Robert Crais"
"Eugène Atget","Berenice Abbott"
"Wilhelm von Gloeden","Cecil Beaton"
"Paul Otlet","Douglas Engelbart"
"Vannevar Bush","Douglas Engelbart"
"Chad Oliver","Howard Waldrop"
"Nicholas Georgescu-Roegen","Joan Martinez Alier"
"Sylvanus Morley","Tatiana Proskouriakoff"
"Ilya Repin","Viktor Vasnetsov"
"Konstantin Makovsky","Viktor Vasnetsov"
"Olga Arsenievna Oleinik","Weak solution"
"Nalî","Haji Qadir Koyi"
"Karl William Kapp","Ignacy Sachs"
"N.C. Wyeth","Jamie Wyeth"
"Manny Farber","Jonathan Rosenbaum"
"Robert W. Chambers","Tod Robbins"
"Albert Bierstadt","William Bliss Baker"
"Hubert Dreyfus","Alva Noë"
"Anaxagoras","Archelaus"
"Hubert Selby, Jr.","Dan Fante"
"Philippa Foot","Judith Jarvis Thomson"
"Ennio Flaiano","Vincenzo Cardarelli"
"Jack Smith","Richard Foreman"
"Richard Hofstadter","Robert Dallek"
"Alfred Cort Haddon","Caroline Furness Jayne"
"Eric Berne","Claude Steiner"
"Paul Otlet","Gerard Salton"
"Paul Otlet","Michael Buckland"
"James Joseph Sylvester","Morgan Crofton"
"Charles Grafton Page","Edward Samuel Ritchie"
"W. D. Ross","Robert Audi"
"Alexius Meinong","Terence Parsons"
"Redd Foxx","Anthony Anderson"
"Edvard Westermarck","Bronisław Malinowski"
"Émile Durkheim","Bronisław Malinowski"
"Jacob Cats","Constantijn Huygens"
"Antoine Augustin Cournot","Gabriel Tarde"
"Gary Snyder","Jack Kerouac"
"Arkhip Kuindzhi","Konstantin Bogaevsky"
"Antoine Augustin Cournot","Léon Walras"
"Gene Wolfe","Michael Swanwick"
"Hart Crane","Tennessee Williams"
