"Alain Badiou","Alberto Toscano"
"Alain Badiou","Ray Brassier"
"Alain Badiou","Slavoj Žižek"
"Alain Badiou","Bruno Bosteels"
"Alain Badiou","Jason Barker"
"Alain Badiou","Quentin Meillassoux"
"Alain Badiou","Sylvain Lazarus"
"Alain Badiou","Peter Hallward"
"Alvin Plantinga","William Lane Craig"
"Arthur Danto","George Dickie"
"Arthur Danto","Noël Carroll"
"August Schleicher","August Leskien"
"Charles Cooley","Herbert Blumer"
"Christian Jakob Kraus","Wilhelm von Humboldt"
"Clarence Irving Lewis","William Frankena"
"Clarence Irving Lewis","Roderick Chisholm"
"Clarence Irving Lewis","Willard Van Orman Quine"
"Clarence Irving Lewis","Roderick Firth"
"Clarence Irving Lewis","Nelson Goodman"
"Clarence Irving Lewis","Robert Paul Wolff"
"Cornelius Castoriadis","Hans Joas"
"Cornelius Castoriadis","Guy Debord"
"Cornelius Castoriadis","Robin Hahnel"
"Cornelius Castoriadis","Francisco Varela"
"Cornelius Castoriadis","E. P. Thompson"
"Cornelius Castoriadis","Jean Baudrillard"
"Cornelius Castoriadis","Richard Rorty"
"Cornelius Castoriadis","Pierre Vidal-Naquet"
"Cornelius Castoriadis","Graham Ward"
"Cornelius Castoriadis","René Lourau"
"Cornelius Castoriadis","Anthony Giddens, Baron Giddens"
"Cornelius Castoriadis","Claude Lefort"
"Cornelius Castoriadis","Takis Fotopoulos"
"Cornelius Castoriadis","Andrew Arato"
"Cornelius Castoriadis","Edgar Morin"
"Cornelius Castoriadis","Zygmunt Bauman"
"Cornelius Castoriadis","Shimshon Bichler"
"Cornelius Castoriadis","Marcel Gauchet"
"Cornelius Castoriadis","Vincent Descombes"
"Cornelius Castoriadis","Daniel Cohn-Bendit"
"Cornelius Castoriadis","Nikolas Kompridis"
"Cornelius Castoriadis","Jonathan Nitzan"
"Cornelius Castoriadis","Chris Pallis"
"Cornelius Castoriadis","Georges Lapassade"
"Cornelius Castoriadis","Jean-Claude Michéa"
"Cornelius Castoriadis","Laurent Van Eynde"
"Cornelius Castoriadis","Vincent de Gaulejac"
"Cornelius Castoriadis","Frieder Otto Wolf"
"Cornelius Castoriadis","Danilo Martuccelli"
"Cornelius Castoriadis","Andreas Kalyvas"
"Cornelius Castoriadis","Lorraine Code"
"Cornelius Castoriadis","Yorgos Oikonomou"
"Cornelius Castoriadis","Sophie Klimis"
"Cornelius Castoriadis","Harald Wolf"
"Cornelius Castoriadis","François Roustang"
"Cornelius Castoriadis","Johann Pál Arnason"
"Cornelius Van Til","Richard L. Pratt, Jr."
"Cornelius Van Til","John Frame"
"Cornelius Van Til","Francis Schaeffer"
"Cornelius Van Til","Greg Bahnsen"
"Cornelius Van Til","Rousas John Rushdoony"
"Cornelius Van Til","Timothy J. Keller"
"Cornelius Van Til","Douglas Wilson"
"Ferdinand Canning Scott Schiller","William James"
"Ferdinand Canning Scott Schiller","Larry Laudan"
"Friedrich Carl von Savigny","August von Bethmann-Hollweg"
"George Herbert Mead","John Dewey"
"George Herbert Mead","Jürgen Habermas"
"George Herbert Mead","Herbert Blumer"
"George Sylvester Morris","John Dewey"
"Georges Palante","Michel Onfray"
"Georges Palante","Renzo Novatore"
"Georges Palante","Jean Grenier"
"Georges Palante","Albert Camus"
"Georges Palante","Louis Guilloux"
"Gila Sher","John Etchemendy"
"Gila Sher","Richard Tieszen"
"Gilbert Ryle","R. M. Hare"
"Gilbert Ryle","A. J. Ayer"
"Gilbert Ryle","Daniel Dennett"
"Gilbert Ryle","Wilfrid Sellars"
"Gilbert Ryle","John Searle"
"Gilbert Ryle","Ullin Place"
"Gilbert Ryle","J. L. Austin"
"Gilbert Ryle","Richard Webster"
"Gilbert Ryle","Clifford Geertz"
"Henry Sidgwick","R. M. Hare"
"Henry Sidgwick","John Rawls"
"Henry Sidgwick","Derek Parfit"
"Henry Sidgwick","Alfred Marshall"
"Henry Sidgwick","J. J. C. Smart"
"Henry Sidgwick","Mordecai Kaplan"
"Henry Sidgwick","Peter Singer"
"Henry Sidgwick","Hastings Rashdall"
"Horace Romano Harré","Roy Bhaskar"
"Johann Gustav Droysen","Wilhelm Dilthey"
"John Zerzan","CrimethInc."
"John Zerzan","Derrick Jensen"
"John Zerzan","Green Anarchy"
"John Zerzan","Andy Hurley"
"John Zerzan","Kevin Tucker"
"John Zerzan","Species Traitor"
"John Zerzan","1999 Seattle WTO protests"
"Julius Thomas Fraser","Rovelli"
"Karl-Otto Apel","Hans-Hermann Hoppe"
"Max Horkheimer","Theodor W. Adorno"
"Max Horkheimer","Karl-Otto Apel"
"Max Horkheimer","Erich Fromm"
"Max Horkheimer","Herbert Marcuse"
